"General-The city has (or references) a document explaining to every employee how performance management, analysis, and open data practices fit together in their city.",1
General-The city publishes (internally or externally) examples of its own employees using data to achieve results in their day-to-day practice.,1
General-The city routinely shares analysis (including methodology) with employees across divisions to facilitate shared horizontal learning.,1
"Commit-The city has an executive with significant authority over resources who throws his/her full weight behind data-related initiatives like open data, analytics and performance.",1
Commit-A representative from the mayor/city manager's team is part of the leadership,1
"Commit-C10. Mayor publicizes commitment to governing with data to city departments (e.g., public remarks, internal employee emails, newsletters, website, etc.)",1
Commit-The city has published goal statements which set clear goals and provide context for why they are important to the city's mission or to the Mayor/City Manager.,1
"Commit-Build on the values, goals and mission of the community and government",1
Commit-C2. Has at least one strategic goal,1
Commit-C4. Has at least one publicly stated strategic goal,1
Commit-The city has established (and published) clear linkages between its goal statements and each department's role in execution.,1
"Commit-The city has established (and published) clear owners (programs and/or individuals) which make it clear ""who"" is responsible for progress toward each goal statement.",1
Commit-The city has clarified (and published) specific strategies and tactics which make it clear how they plan to make progress toward each goal statement.,1
"Commit-The city has specific targets/goals it is aiming for within each goal statement, and those targets/goals are calculated based on analysis of past performance, current context, and foreseeable future activities.",1
Commit-Set appropriately ambitious timelines for implementation,1
"Commit-C3. Has assigned targets, metrics, and a timeframe to measure progress toward the achievement of at least one strategic goal",1
Commit-The city has published priorities for Open Data activities.,1
Commit-Specify methods of determining the prioritization of data release,1
Commit-The city has a STAT program which is chaired by a senior official with ample authority.,1
Commit-The city has a STAT program which occurs routinely on a predictable schedule.,1
"Commit-M3. Has a set schedule for performance management or Stat meetings, led by the mayor or his/her senior team",1
Commit-The city has a STAT program which consistently leverages data to inform the discussion.,1
Commit-The city has a STAT program which drives specific actions for which individuals/programs are held accountable for completing.,1
Commit-The city has an interdisciplinary meeting of senior management officials which is infused with data and analysis to drive the discussion. (but it is not called STAT),1
Commit-The city has an Open Data portal.,1
Commit-The city publishes data visualizations for employees to inform the day-to-day execution of their responsibilities.,1
"Commit-C8. Publishes city progress on city goals annually or more frequently (e.g., annual report, update to city's strategic plan, etc.)",1
Commit-The city routinely make resource/budgeting decisions in meetings which are infused with the analysis of data.,1
